time	track	channel	bar	pitch	volume	instrument
688	2	9	-1202590838	38	80	-1202590838
688	2	9	-1202590838	42	0	-1202590838
688	3	4	-1202590838	58	72	-1202590838
692	3	4	2061584307	58	0	2061584307
692	3	4	2061584307	56	72	2061584307
696	1	2	1030792156	63	0	1030792156
696	1	2	1030792156	61	80	1030792156
696	2	9	1030792156	42	80	1030792156
696	2	9	1030792156	38	0	1030792156
696	2	9	1030792156	42	0	1030792156
696	3	4	1030792156	56	0	1030792156
700	2	9	5	38	80	5
700	2	9	5	42	0	5
704	1	2	-1030792146	60	80	-1030792146
704	1	2	-1030792146	61	0	-1030792146
704	2	9	-1030792146	35	80	-1030792146
704	2	9	-1030792146	38	0	-1030792146
704	2	9	-1030792146	42	80	-1030792146
704	3	4	-1030792146	56	72	-1030792146
704	4	6	-1030792146	41	72	-1030792146
704	4	6	-1030792146	39	0	-1030792146
712	1	2	1202590848	56	80	1202590848
712	1	2	1202590848	60	0	1202590848
712	2	9	1202590848	35	80	1202590848
712	2	9	1202590848	42	80	1202590848
712	2	9	1202590848	35	0	1202590848
712	2	9	1202590848	42	0	1202590848
720	1	2	-858993454	56	0	-858993454
720	1	2	-858993454	60	80	-858993454
720	2	9	-858993454	42	0	-858993454
720	2	9	-858993454	35	0	-858993454
720	2	9	-858993454	38	80	-858993454
720	2	9	-858993454	42	80	-858993454
728	1	2	1374389540	60	0	1374389540
728	1	2	1374389540	56	80	1374389540
728	2	9	1374389540	42	0	1374389540
728	2	9	1374389540	42	80	1374389540
728	2	9	1374389540	38	0	1374389540
732	2	9	343597389	38	80	343597389
732	2	9	343597389	42	0	343597389
736	1	2	-687194762	60	80	-687194762
736	1	2	-687194762	56	0	-687194762
736	2	9	-687194762	42	80	-687194762
736	2	9	-687194762	38	0	-687194762
736	3	4	-687194762	56	0	-687194762
740	2	9	-1717986913	38	80	-1717986913
740	2	9	-1717986913	42	0	-1717986913
744	1	2	1546188232	60	0	1546188232
744	1	2	1546188232	56	80	1546188232
744	2	9	1546188232	38	0	1546188232
744	2	9	1546188232	42	80	1546188232
744	2	9	1546188232	35	80	1546188232
744	3	4	1546188232	51	72	1546188232
752	1	2	-515396070	56	0	-515396070
752	1	2	-515396070	60	80	-515396070
752	2	9	-515396070	38	80	-515396070
752	2	9	-515396070	42	0	-515396070
752	2	9	-515396070	35	0	-515396070
752	2	9	-515396070	42	80	-515396070
752	3	4	-515396070	51	0	-515396070
752	3	4	-515396070	56	72	-515396070
756	3	4	-1546188221	58	72	-1546188221
756	3	4	-1546188221	56	0	-1546188221
760	1	2	1717986924	60	0	1717986924
760	1	2	1717986924	58	80	1717986924
760	2	9	1717986924	38	0	1717986924
760	2	9	1717986924	42	0	1717986924
760	2	9	1717986924	38	80	1717986924
760	2	9	1717986924	42	80	1717986924
760	3	4	1717986924	58	0	1717986924
764	2	9	687194773	38	80	687194773
764	2	9	687194773	38	0	687194773
764	2	9	687194773	42	0	687194773
768	1	2	-343597378	60	72	-343597378
768	1	2	-343597378	58	0	-343597378
768	2	9	-343597378	35	80	-343597378
768	2	9	-343597378	42	80	-343597378
768	2	9	-343597378	38	0	-343597378
768	3	4	-343597378	60	72	-343597378
