time:33630	pitch:50	volume:0	bar:28	beat:86
time:33824	pitch:82	volume:0	bar:28	beat:86
time:33824	pitch:80	volume:96	bar:28	beat:86
time:33824	pitch:58	volume:0	bar:28	beat:86
time:33824	pitch:41	volume:125	bar:28	beat:86
time:33824	pitch:43	volume:0	bar:28	beat:86
time:33824	pitch:41	volume:120	bar:28	beat:86
time:33824	pitch:43	volume:0	bar:28	beat:86
time:33824	pitch:79	volume:0	bar:28	beat:86
time:33824	pitch:68	volume:120	bar:28	beat:86
time:34018	pitch:48	volume:120	bar:29	beat:87
time:34212	pitch:68	volume:0	bar:29	beat:87
time:34212	pitch:53	volume:120	bar:29	beat:87
time:34212	pitch:80	volume:0	bar:29	beat:87
time:34212	pitch:79	volume:96	bar:29	beat:87
time:34212	pitch:70	volume:120	bar:29	beat:87
time:34601	pitch:72	volume:120	bar:29	beat:88
time:34601	pitch:70	volume:0	bar:29	beat:88
time:34601	pitch:77	volume:96	bar:29	beat:88
time:34601	pitch:79	volume:0	bar:29	beat:88
time:34795	pitch:48	volume:0	bar:29	beat:89
time:34986	pitch:41	volume:0	bar:29	beat:89
time:34986	pitch:77	volume:0	bar:29	beat:89
time:34986	pitch:74	volume:96	bar:29	beat:89
time:34986	pitch:41	volume:0	bar:29	beat:89
time:34986	pitch:43	volume:125	bar:29	beat:89
time:34986	pitch:53	volume:0	bar:29	beat:89
time:34986	pitch:43	volume:120	bar:29	beat:89
time:34986	pitch:72	volume:0	bar:29	beat:89
time:34986	pitch:74	volume:120	bar:29	beat:89
time:35184	pitch:50	volume:120	bar:30	beat:90
time:35378	pitch:72	volume:120	bar:30	beat:90
time:35378	pitch:74	volume:0	bar:30	beat:90
time:35378	pitch:58	volume:120	bar:30	beat:90
time:35767	pitch:74	volume:0	bar:30	beat:91
time:35767	pitch:74	volume:96	bar:30	beat:91
time:35767	pitch:72	volume:0	bar:30	beat:91
time:35767	pitch:70	volume:120	bar:30	beat:91
time:35961	pitch:50	volume:0	bar:30	beat:92
time:36155	pitch:72	volume:120	bar:30	beat:92
time:36155	pitch:70	volume:0	bar:30	beat:92
time:36155	pitch:44	volume:120	bar:30	beat:92
time:36155	pitch:58	volume:0	bar:30	beat:92
time:36155	pitch:43	volume:0	bar:30	beat:92
time:36155	pitch:44	volume:125	bar:30	beat:92
time:36155	pitch:43	volume:0	bar:30	beat:92
time:36155	pitch:74	volume:0	bar:30	beat:92
time:36155	pitch:72	volume:96	bar:30	beat:92
time:36349	pitch:51	volume:120	bar:31	beat:93
time:36543	pitch:60	volume:120	bar:31	beat:93
