time	track	channel	bar	pitch	volume	bar	instrument
1418	0	4	22	62	71	22	0
1418	0	4	22	70	71	22	0
1418	0	4	22	58	71	22	0
1426	0	4	22	62	71	22	0
1426	0	1	22	53	95	22	0
1426	0	2	22	67	111	22	0
1426	0	4	22	58	71	22	0
1426	0	4	22	65	71	22	0
1426	0	4	22	53	71	22	0
1426	0	1	22	72	95	22	0
1434	0	11	22	41	54	22	0
1434	0	11	22	53	54	22	0
1434	0	4	22	62	71	22	0
1434	0	4	22	74	71	22	0
1434	0	4	22	65	71	22	0
1434	0	4	22	70	71	22	0
1434	0	9	22	35	95	22	0
1434	0	9	22	55	95	22	0
1434	0	9	22	41	95	22	0
1434	0	1	22	62	95	22	0
1434	0	9	22	36	95	22	0
1442	0	6	22	53	64	22	0
1442	0	11	22	41	54	22	0
1442	0	11	22	53	54	22	0
1442	0	4	22	53	71	22	0
1442	0	4	22	65	71	22	0
1442	0	4	22	58	71	22	0
1442	0	4	22	62	71	22	0
1442	0	9	22	41	95	22	0
1442	0	2	22	65	111	22	0
1442	0	1	22	53	95	22	0
1442	0	6	22	65	64	22	0
1449	0	9	22	55	95	22	0
1449	0	2	22	67	111	22	0
1449	0	1	22	58	95	22	0
1449	0	1	22	72	95	22	0
1449	0	9	22	69	95	22	0
1449	0	4	22	58	71	22	0
1449	0	4	22	70	71	22	0
1449	0	4	22	62	71	22	0
1449	0	4	22	65	71	22	0
1449	0	9	22	40	95	22	0
1457	0	4	22	58	71	22	0
1457	0	1	22	53	95	22	0
1457	0	2	22	65	111	22	0
1457	0	4	22	62	71	22	0
1457	0	4	22	65	71	22	0
1457	0	4	22	53	71	22	0
1465	0	11	22	56	54	22	0
1465	0	4	22	55	71	22	0
1465	0	6	22	56	64	22	0
1465	0	4	22	43	71	22	0
1465	0	11	22	44	54	22	0
1465	0	1	22	72	95	22	0
1465	0	9	22	35	95	22	0
1465	0	9	22	36	95	22	0
1465	0	9	22	55	95	22	0
1465	0	1	22	43	95	22	0
1465	0	9	22	41	95	22	0
1465	0	9	22	57	95	22	0
1465	0	2	22	68	111	22	0
1473	0	4	22	50	71	22	0
1473	0	4	22	62	71	22	0
1473	0	4	22	58	71	22	0
1473	0	2	22	67	111	22	0
1473	0	1	22	72	95	22	0
1473	0	1	22	50	95	22	0
1481	0	1	23	55	95	23	0
1481	0	2	23	65	111	23	0
1481	0	9	23	69	95	23	0
1481	0	1	23	72	95	23	0
1481	0	9	23	40	95	23	0
1481	0	9	23	55	95	23	0
1481	0	4	23	55	71	23	0
1481	0	4	23	67	71	23	0
1481	0	4	23	58	71	23	0
1489	0	4	23	62	71	23	0
1489	0	4	23	50	71	23	0
1489	0	4	23	58	71	23	0
1489	0	2	23	67	111	23	0
1489	0	1	23	50	95	23	0
1489	0	1	23	72	95	23	0
1497	0	4	23	70	71	23	0
1497	0	9	23	55	95	23	0
1497	0	9	23	36	95	23	0
1497	0	11	23	41	54	23	0
1497	0	11	23	53	54	23	0
1497	0	4	23	58	71	23	0
1497	0	1	23	58	95	23	0
1497	0	4	23	67	71	23	0
1497	0	9	23	41	95	23	0
1497	0	4	23	62	71	23	0
1497	0	9	23	35	95	23	0
1505	0	1	23	50	95	23	0
1505	0	2	23	67	111	23	0
1505	0	9	23	41	95	23	0
1505	0	6	23	55	64	23	0
1505	0	6	23	67	64	23	0
1505	0	4	23	58	71	23	0
1505	0	4	23	62	71	23	0
1505	0	11	23	53	54	23	0
1505	0	11	23	41	54	23	0
1505	0	4	23	50	71	23	0
1513	0	9	23	35	95	23	0
1513	0	1	23	72	95	23	0
1513	0	1	23	55	95	23	0
1513	0	4	23	55	71	23	0
1513	0	9	23	41	95	23	0
1513	0	2	23	69	111	23	0
1513	0	9	23	36	95	23	0
1513	0	4	23	58	71	23	0
1513	0	4	23	67	71	23	0
1517	0	9	23	55	95	23	0
1517	0	9	23	69	95	23	0
1517	0	9	23	40	95	23	0
1517	0	9	23	57	95	23	0
1520	0	1	23	50	95	23	0
1520	0	1	23	77	95	23	0
1520	0	2	23	65	111	23	0
1520	0	4	23	58	71	23	0
1520	0	4	23	62	71	23	0
1520	0	4	23	50	71	23	0
1524	0	9	23	41	95	23	0
1524	0	9	23	35	95	23	0
1524	0	2	23	62	111	23	0
1524	0	9	23	36	95	23	0
1528	0	1	23	62	95	23	0
1528	0	4	23	57	71	23	0
1528	0	6	23	50	64	23	0
1528	0	6	23	62	64	23	0
1528	0	9	23	55	95	23	0
1528	0	9	23	69	95	23	0
1528	0	9	23	40	95	23	0
1528	0	9	23	57	95	23	0
1528	0	4	23	65	71	23	0
1528	0	1	23	50	95	23	0
1528	0	11	23	50	54	23	0
1528	0	11	23	38	54	23	0
1528	0	4	23	50	71	23	0
1528	0	4	23	62	71	23	0
1536	0	4	23	52	71	23	0
1536	0	4	23	55	71	23	0
1536	0	9	23	69	95	23	0
1536	0	9	23	35	95	23	0
