time	track	channel	pitch	volume	instrument
639	2	4	64	0	4
640	1	1	60	0	39
640	7	1	60	0	39
640	1	1	67	80	39
640	2	4	48	56	4
640	5	7	36	76	35
640	6	9	35	72	0
640	6	9	42	0	0
640	6	9	42	72	0
640	7	1	67	80	39
648	2	4	55	53	4
648	4	6	51	48	48
648	6	9	42	72	0
648	6	9	42	0	0
652	1	1	67	0	39
652	7	1	67	0	39
652	1	1	65	80	39
652	7	1	65	80	39
656	1	1	65	0	39
656	7	1	65	0	39
656	1	1	67	80	39
656	2	4	60	53	4
656	4	6	55	53	48
656	6	9	42	0	0
656	6	9	42	72	0
656	6	9	38	72	0
656	6	9	35	0	0
656	7	1	67	80	39
662	2	4	48	0	4
663	4	6	51	0	48
664	2	4	63	56	4
664	4	6	60	53	48
664	6	9	42	0	0
664	6	9	38	0	0
664	6	9	42	72	0
666	5	7	36	0	35
668	1	1	67	0	39
668	7	1	67	0	39
668	1	1	65	80	39
668	7	1	65	80	39
671	4	6	55	0	48
671	2	4	63	0	4
672	1	1	65	0	39
672	7	1	65	0	39
672	1	1	67	80	39
672	2	4	67	56	4
672	4	6	63	48	48
672	5	7	36	72	35
672	6	9	42	0	0
672	6	9	42	72	0
672	7	1	67	80	39
679	4	6	60	0	48
679	2	4	67	0	4
680	1	1	67	0	39
680	7	1	67	0	39
680	1	1	69	80	39
680	2	4	63	39	4
680	6	9	42	0	0
680	6	9	42	72	0
680	6	9	35	72	0
680	7	1	69	80	39
684	3	5	55	53	25
687	4	6	63	0	48
687	2	4	63	0	4
688	1	1	72	80	39
688	1	1	69	0	39
688	7	1	72	80	39
688	7	1	69	0	39
688	2	4	67	56	4
688	3	5	60	62	25
688	3	5	63	68	25
688	6	9	35	0	0
688	6	9	42	0	0
688	6	9	38	72	0
688	6	9	42	72	0
694	5	7	36	0	35
695	3	5	55	0	25
695	2	4	67	0	4
695	3	5	63	0	25
695	3	5	60	0	25
696	1	1	69	80	39
696	1	1	72	0	39
696	7	1	72	0	39
696	7	1	69	80	39
696	2	4	63	45	4
696	5	7	43	62	35
696	6	9	42	0	0
696	6	9	38	0	0
696	6	9	42	72	0
700	1	1	69	0	39
700	7	1	69	0	39
700	1	1	67	80	39
700	7	1	67	80	39
701	2	4	55	0	4
702	2	4	60	0	4
703	2	4	63	0	4
703	5	7	43	0	35
704	1	1	67	0	39
704	7	1	67	0	39
704	1	1	67	80	39
704	2	4	58	56	4
704	5	7	46	72	35
704	6	9	42	72	0
704	6	9	35	72	0
704	6	9	42	0	0
704	7	1	67	80	39
712	2	4	65	53	4
712	4	6	62	48	48
712	6	9	42	0	0
712	6	9	42	72	0
715	1	1	67	0	39
715	7	1	67	0	39
716	1	1	69	80	39
716	7	1	69	80	39
720	1	1	69	0	39
720	7	1	69	0	39
720	1	1	67	80	39
720	2	4	69	53	4
720	4	6	65	45	48
720	6	9	42	72	0
720	6	9	38	72	0
720	6	9	42	0	0
720	6	9	35	0	0
720	7	1	67	80	39
726	2	4	58	0	4
727	4	6	62	0	48
728	1	1	67	0	39
728	7	1	67	0	39
728	1	1	65	80	39
728	2	4	74	56	4
728	4	6	69	62	48
728	6	9	38	0	0
728	6	9	42	72	0
728	6	9	42	0	0
728	7	1	65	80	39
730	5	7	46	0	35
731	1	1	65	0	39
731	7	1	65	0	39
732	1	1	67	80	39
